FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan
148,3171031008,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,45,1,44,14,2,12,10,1,2,0,7,
149,3174031004,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,81,1,80,12,0,12,17,5,6,1,5,
150,3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,70,1,69,20,4,16,11,4,3,0,4,
151,3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,42,0,42,8,1,7,15,6,2,1,6,
152,3174071008,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,24,0,24,6,2,4,4,0,2,0,2,
153,3172041006,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,79,3,76,10,3,7,4,0,2,1,1,
154,3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,169,4,165,9,3,6,24,9,2,0,13,
155,3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,22,1,21,14,0,14,9,1,6,1,1,
156,3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,84,0,84,17,7,10,34,3,2,1,28,
157,3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,87,3,84,16,5,11,15,4,3,4,4,
158,3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,45,0,45,7,1,6,13,5,1,0,7,
159,3174071003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,21,0,21,6,0,6,2,0,1,0,1,
160,3174071001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,8,0,8,0,0,0,5,1,3,0,1,
161,3175101004,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,25,1,24,6,0,6,7,2,2,0,3,
162,3174081003,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,32,1,31,8,0,8,6,4,1,0,1,
163,3172031005,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,102,4,98,31,5,26,12,4,4,0,4,
164,3175071005,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,34,4,30,5,1,4,13,7,1,1,4,
165,3171031007,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,54,11,43,13,2,11,10,5,3,0,2,
166,3173051002,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,89,2,87,25,1,24,18,6,3,2,7,
167,3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,107,1,106,26,12,14,45,9,5,6,25,
168,3174041004,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,68,3,65,22,4,18,6,3,1,2,0,
169,3175101005,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,28,1,27,9,1,8,4,0,2,0,2,
170,3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,17,0,17,5,1,4,4,0,3,0,1,
171,3175101003,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,19,0,19,7,0,7,7,1,1,1,4,
172,3174071007,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,18,0,18,4,1,3,5,2,1,0,2,
173,3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,20,0,20,2,0,2,3,0,2,0,1,
174,3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,8,0,8,4,0,4,13,2,9,1,1,
175,3174091002,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,115,1,114,16,4,12,18,5,5,2,6,
176,3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,34,2,32,5,1,4,5,1,1,1,2,
177,3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,25,0,25,18,3,15,12,8,3,1,0,
178,3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,7,0,7,4,0,4,2,1,0,1,0,
179,3174071004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,4,0,4,4,0,4,3,1,1,0,1,
180,3172011001,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,513,2,511,33,4,29,90,9,3,3,75,
181,3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,48,0,48,32,3,29,10,4,5,1,0,
182,3172031003,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,114,3,111,38,6,32,36,12,3,2,19,
183,3171011004,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,52,0,52,7,0,7,4,2,1,1,0,
184,3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,285,1,284,36,2,34,92,16,11,4,61,
185,3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,42,1,41,8,3,5,18,3,2,2,11,
186,3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,39,2,37,3,1,2,2,0,1,0,1,
187,3175091005,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,52,1,51,13,1,12,7,3,1,0,3,
188,3173031003,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,39,0,39,12,0,12,59,25,17,0,17,
189,3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,38,1,37,8,2,6,14,5,3,0,6,
190,3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,34,1,33,11,1,10,11,2,4,1,4,
191,3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,63,1,62,26,6,20,30,4,1,6,19,
192,3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,23,1,22,13,6,7,8,3,1,1,3,
193,3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,34,0,34,7,2,5,14,6,1,0,7,
194,3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,40,0,40,10,3,7,3,0,0,0,3,
195,3172021003,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,67,2,65,25,0,25,6,2,2,1,1,
196,3172041007,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,162,8,154,19,3,16,20,8,0,0,12,
197,3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,58,0,58,8,2,6,15,6,2,2,5,
198,3175011002,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,50,1,49,21,2,19,12,5,2,2,3,
199,3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,302,0,302,59,3,56,45,12,25,1,7,
200,3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,48,0,48,12,2,10,11,3,3,0,5,
201,3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,200,3,197,18,7,11,19,5,2,0,12,
202,3172031006,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,125,2,123,36,5,31,24,6,8,0,10,
203,3174011007,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,44,1,43,10,0,10,6,5,0,0,1,
204,3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,59,3,56,21,2,19,13,8,2,0,3,
205,3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,34,2,32,6,1,5,1,1,0,0,0,
206,3173031004,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,24,0,24,4,2,2,9,1,0,1,7,
207,3172051001,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,105,4,101,31,7,24,21,4,3,1,13,
208,3172021007,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,53,0,53,24,3,21,19,3,1,1,14,
209,3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,67,1,66,30,3,27,6,1,0,0,5,
210,3175091004,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,63,1,62,5,0,5,6,1,0,1,4,
211,3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,66,1,65,13,1,12,17,6,2,0,9,
212,3175071006,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,63,6,57,20,1,19,15,5,5,0,5,
213,3174031001,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,59,0,59,2,0,2,7,3,3,0,1,
214,3171021005,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,42,4,38,27,5,22,15,12,0,0,3,
215,3175031004,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,18,0,18,5,0,5,8,3,3,0,2,
216,3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,69,4,65,25,6,19,17,3,4,1,9,
217,3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,64,0,64,14,0,14,9,2,2,1,4,
218,3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,65,4,61,44,5,39,18,6,6,1,5,
